timeindex,profile_heat,profile_hotwater,profile_load,profile_STH_load
2023-01-01T00:01:00Z,2.07426447873108e-06,0.0,1.05250090086338e-06,0.0
2023-01-01T00:02:00Z,2.07426447873108e-06,0.0,1.04954595029321e-06,0.0
2023-01-01T00:03:00Z,2.07426447873108e-06,0.0,1.04179203329171e-06,0.0
2023-01-01T00:04:00Z,2.07426447873108e-06,0.0,1.03644325599624e-06,0.0
2023-01-01T00:05:00Z,2.07426447873108e-06,0.0,1.02891786120575e-06,0.0
2023-01-01T00:06:00Z,2.07426447873108e-06,0.0,1.02165492756851e-06,0.0
2023-01-01T00:07:00Z,2.07426447873108e-06,0.0,1.01377656777882e-06,0.0
2023-01-01T00:08:00Z,2.07426447873108e-06,0.0,1.0039116485706e-06,0.0
2023-01-01T00:09:00Z,2.07426447873108e-06,0.0,9.98775555313113e-07,0.0
2023-01-01T00:10:00Z,2.07426447873108e-06,0.0,9.91247897926473e-07,0.0
2023-01-01T00:11:00Z,2.07426447873108e-06,0.0,9.83023360926042e-07,0.0
2023-01-01T00:12:00Z,2.07426447873108e-06,0.0,9.80326346316823e-07,0.0
2023-01-01T00:13:00Z,2.07426447873108e-06,0.0,9.72108597104838e-07,0.0
2023-01-01T00:14:00Z,2.07426447873108e-06,0.0,9.7048405307009e-07,0.0
2023-01-01T00:15:00Z,2.07426447873108e-06,0.0,4.10894248387684e-07,0.0
2023-01-01T00:16:00Z,2.07426447873108e-06,0.0,4.11665793674382e-07,0.0
2023-01-01T00:17:00Z,2.07426447873108e-06,0.0,4.10333124542813e-07,0.0
2023-01-01T00:18:00Z,2.07426447873108e-06,0.0,4.09842141178551e-07,0.0
2023-01-01T00:19:00Z,2.07426447873108e-06,0.0,4.11244950790729e-07,0.0
2023-01-01T00:20:00Z,2.07426447873108e-06,0.0,4.10894248387684e-07,0.0
2023-01-01T00:21:00Z,2.07426447873108e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T00:22:00Z,2.07426447873108e-06,0.0,4.10894248387684e-07,0.0
2023-01-01T00:23:00Z,2.07426447873108e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T00:24:00Z,2.07426447873108e-06,0.0,4.12016496077427e-07,0.0
2023-01-01T00:25:00Z,2.07426447873108e-06,0.0,4.11315091271338e-07,0.0
2023-01-01T00:26:00Z,2.07426447873108e-06,0.0,4.10333124542813e-07,0.0
2023-01-01T00:27:00Z,2.07426447873108e-06,0.0,4.10122703100986e-07,0.0
2023-01-01T00:28:00Z,2.07426447873108e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T00:29:00Z,2.07426447873108e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T00:30:00Z,2.07426447873108e-06,0.0,4.10894248387684e-07,0.0
2023-01-01T00:31:00Z,2.07426447873108e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T00:32:00Z,2.07426447873108e-06,0.0,4.11455372232556e-07,0.0
2023-01-01T00:33:00Z,2.07426447873108e-06,0.0,4.10122703100986e-07,0.0
2023-01-01T00:34:00Z,2.07426447873108e-06,0.0,4.12086636558036e-07,0.0
2023-01-01T00:35:00Z,2.07426447873108e-06,0.0,4.12226917519254e-07,0.0
2023-01-01T00:36:00Z,2.07426447873108e-06,0.0,4.12577619922298e-07,0.0
2023-01-01T00:37:00Z,2.07426447873108e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T00:38:00Z,2.07426447873108e-06,0.0,4.10052562620378e-07,0.0
2023-01-01T00:39:00Z,2.07426447873108e-06,0.0,4.11034529348902e-07,0.0
2023-01-01T00:40:00Z,2.07426447873108e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T00:41:00Z,2.07426447873108e-06,0.0,4.11315091271338e-07,0.0
2023-01-01T00:42:00Z,2.07426447873108e-06,0.0,4.10894248387684e-07,0.0
2023-01-01T00:43:00Z,2.07426447873108e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T00:44:00Z,2.07426447873108e-06,0.0,4.10894248387684e-07,0.0
2023-01-01T00:45:00Z,2.07426447873108e-06,0.0,4.10683826945858e-07,0.0
2023-01-01T00:46:00Z,2.07426447873108e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T00:47:00Z,2.07426447873108e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T00:48:00Z,2.07426447873108e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T00:49:00Z,2.07426447873108e-06,0.0,4.10753967426467e-07,0.0
2023-01-01T00:50:00Z,2.07426447873108e-06,0.0,4.10122703100986e-07,0.0
2023-01-01T00:51:00Z,2.07426447873108e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T00:52:00Z,2.07426447873108e-06,0.0,4.1117481031012e-07,0.0
2023-01-01T00:53:00Z,2.07426447873108e-06,0.0,4.10122703100986e-07,0.0
2023-01-01T00:54:00Z,2.07426447873108e-06,0.0,4.09631719736724e-07,0.0
2023-01-01T00:55:00Z,2.07426447873108e-06,0.0,4.10052562620378e-07,0.0
2023-01-01T00:56:00Z,2.07426447873108e-06,0.0,1.31479462199459e-06,0.0
2023-01-01T00:57:00Z,2.07426447873108e-06,0.0,1.62334259619314e-06,0.0
2023-01-01T00:58:00Z,2.07426447873108e-06,0.0,1.4929514427412e-06,0.0
2023-01-01T00:59:00Z,2.07426447873108e-06,0.0,1.45760064051431e-06,0.0
2023-01-01T01:00:00Z,2.1373942672142e-06,0.0,1.43887313219173e-06,0.0
2023-01-01T01:01:00Z,2.1373942672142e-06,0.0,1.43164866268902e-06,0.0
2023-01-01T01:02:00Z,2.1373942672142e-06,0.0,1.42821177913918e-06,0.0
2023-01-01T01:03:00Z,2.1373942672142e-06,0.0,1.42926388634832e-06,0.0
2023-01-01T01:04:00Z,2.1373942672142e-06,0.0,1.54120583080397e-06,0.0
2023-01-01T01:05:00Z,2.1373942672142e-06,0.0,1.41467466638166e-06,0.0
2023-01-01T01:06:00Z,2.1373942672142e-06,0.0,1.2866117243667e-06,0.0
2023-01-01T01:07:00Z,2.1373942672142e-06,0.0,1.0900102198161e-06,0.0
2023-01-01T01:08:00Z,2.1373942672142e-06,0.0,1.07080530370616e-06,0.0
2023-01-01T01:09:00Z,2.1373942672142e-06,0.0,1.0606598225755e-06,0.0
2023-01-01T01:10:00Z,2.1373942672142e-06,0.0,1.05250090086338e-06,0.0
2023-01-01T01:11:00Z,2.1373942672142e-06,0.0,1.05137412798134e-06,0.0
2023-01-01T01:12:00Z,2.1373942672142e-06,0.0,1.04326950857679e-06,0.0
2023-01-01T01:13:00Z,2.1373942672142e-06,0.0,1.0345449378275e-06,0.0
2023-01-01T01:14:00Z,2.1373942672142e-06,0.0,1.02475242169604e-06,0.0
2023-01-01T01:15:00Z,2.1373942672142e-06,0.0,1.01406165489356e-06,0.0
2023-01-01T01:16:00Z,2.1373942672142e-06,0.0,1.00328038424512e-06,0.0
2023-01-01T01:17:00Z,2.1373942672142e-06,0.0,9.99762047233934e-07,0.0
2023-01-01T01:18:00Z,2.1373942672142e-06,0.0,9.90971861196335e-07,0.0
2023-01-01T01:19:00Z,2.1373942672142e-06,0.0,9.83514344290305e-07,0.0
2023-01-01T01:20:00Z,2.1373942672142e-06,0.0,9.79419045261205e-07,0.0
2023-01-01T01:21:00Z,2.1373942672142e-06,0.0,9.75335059212848e-07,0.0
2023-01-01T01:22:00Z,2.1373942672142e-06,0.0,9.63096676644669e-07,0.0
2023-01-01T01:23:00Z,2.1373942672142e-06,0.0,4.10753967426467e-07,0.0
2023-01-01T01:24:00Z,2.1373942672142e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T01:25:00Z,2.1373942672142e-06,0.0,4.10192843581595e-07,0.0
2023-01-01T01:26:00Z,2.1373942672142e-06,0.0,4.10753967426467e-07,0.0
2023-01-01T01:27:00Z,2.1373942672142e-06,0.0,4.1117481031012e-07,0.0
2023-01-01T01:28:00Z,2.1373942672142e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T01:29:00Z,2.1373942672142e-06,0.0,4.10894248387684e-07,0.0
2023-01-01T01:30:00Z,2.1373942672142e-06,0.0,4.11385231751947e-07,0.0
2023-01-01T01:31:00Z,2.1373942672142e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T01:32:00Z,2.1373942672142e-06,0.0,4.10052562620378e-07,0.0
2023-01-01T01:33:00Z,2.1373942672142e-06,0.0,4.10753967426467e-07,0.0
2023-01-01T01:34:00Z,2.1373942672142e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T01:35:00Z,2.1373942672142e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T01:36:00Z,2.1373942672142e-06,0.0,4.10683826945858e-07,0.0
2023-01-01T01:37:00Z,2.1373942672142e-06,0.0,4.10753967426467e-07,0.0
2023-01-01T01:38:00Z,2.1373942672142e-06,0.0,4.10192843581595e-07,0.0
2023-01-01T01:39:00Z,2.1373942672142e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T01:40:00Z,2.1373942672142e-06,0.0,4.09701860217333e-07,0.0
2023-01-01T01:41:00Z,2.1373942672142e-06,0.0,4.10122703100986e-07,0.0
2023-01-01T01:42:00Z,2.1373942672142e-06,0.0,4.10613686465249e-07,0.0
2023-01-01T01:43:00Z,2.1373942672142e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T01:44:00Z,2.1373942672142e-06,0.0,4.09631719736724e-07,0.0
2023-01-01T01:45:00Z,2.1373942672142e-06,0.0,4.11034529348902e-07,0.0
2023-01-01T01:46:00Z,2.1373942672142e-06,0.0,4.10753967426467e-07,0.0
2023-01-01T01:47:00Z,2.1373942672142e-06,0.0,4.11665793674382e-07,0.0
2023-01-01T01:48:00Z,2.1373942672142e-06,0.0,4.09842141178551e-07,0.0
2023-01-01T01:49:00Z,2.1373942672142e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T01:50:00Z,2.1373942672142e-06,0.0,4.10122703100986e-07,0.0
2023-01-01T01:51:00Z,2.1373942672142e-06,0.0,4.10052562620378e-07,0.0
2023-01-01T01:52:00Z,2.1373942672142e-06,0.0,4.0991228165916e-07,0.0
2023-01-01T01:53:00Z,2.1373942672142e-06,0.0,4.09982422139769e-07,0.0
2023-01-01T01:54:00Z,2.1373942672142e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T01:55:00Z,2.1373942672142e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T01:56:00Z,2.1373942672142e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T01:57:00Z,2.1373942672142e-06,0.0,4.1117481031012e-07,0.0
2023-01-01T01:58:00Z,2.1373942672142e-06,0.0,4.10683826945858e-07,0.0
2023-01-01T01:59:00Z,2.1373942672142e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T02:00:00Z,2.19150551448545e-06,0.0,4.09772000697942e-07,0.0
2023-01-01T02:01:00Z,2.19150551448545e-06,0.0,4.10052562620378e-07,0.0
2023-01-01T02:02:00Z,2.19150551448545e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T02:03:00Z,2.19150551448545e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T02:04:00Z,2.19150551448545e-06,0.0,4.09982422139769e-07,0.0
2023-01-01T02:05:00Z,2.19150551448545e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T02:06:00Z,2.19150551448545e-06,0.0,1.10170784190475e-06,0.0
2023-01-01T02:07:00Z,2.19150551448545e-06,0.0,1.64606811191043e-06,0.0
2023-01-01T02:08:00Z,2.19150551448545e-06,0.0,1.50508574588654e-06,0.0
2023-01-01T02:09:00Z,2.19150551448545e-06,0.0,1.46321187896302e-06,0.0
2023-01-01T02:10:00Z,2.19150551448545e-06,0.0,1.44301142054766e-06,0.0
2023-01-01T02:11:00Z,2.19150551448545e-06,0.0,1.43382301758789e-06,0.0
2023-01-01T02:12:00Z,2.19150551448545e-06,0.0,1.43284105085937e-06,0.0
2023-01-01T02:13:00Z,2.19150551448545e-06,0.0,1.42610756472091e-06,0.0
2023-01-01T02:14:00Z,2.19150551448545e-06,0.0,1.42526587895361e-06,0.0
2023-01-01T02:15:00Z,2.19150551448545e-06,0.0,1.41705944272237e-06,0.0
2023-01-01T02:16:00Z,2.19150551448545e-06,0.0,5.15333424014338e-07,0.0
2023-01-01T02:17:00Z,2.19150551448545e-06,0.0,4.09842141178551e-07,0.0
2023-01-01T02:18:00Z,2.19150551448545e-06,0.0,4.09631719736724e-07,0.0
2023-01-01T02:19:00Z,2.19150551448545e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T02:20:00Z,2.19150551448545e-06,0.0,4.10894248387684e-07,0.0
2023-01-01T02:21:00Z,2.19150551448545e-06,0.0,4.10052562620378e-07,0.0
2023-01-01T02:22:00Z,2.19150551448545e-06,0.0,4.10683826945858e-07,0.0
2023-01-01T02:23:00Z,2.19150551448545e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T02:24:00Z,2.19150551448545e-06,0.0,4.10753967426467e-07,0.0
2023-01-01T02:25:00Z,2.19150551448545e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T02:26:00Z,2.19150551448545e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T02:27:00Z,2.19150551448545e-06,0.0,4.1117481031012e-07,0.0
2023-01-01T02:28:00Z,2.19150551448545e-06,0.0,4.10683826945858e-07,0.0
2023-01-01T02:29:00Z,2.19150551448545e-06,0.0,4.11244950790729e-07,0.0
2023-01-01T02:30:00Z,2.19150551448545e-06,0.0,4.11525512713164e-07,0.0
2023-01-01T02:31:00Z,2.19150551448545e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T02:32:00Z,2.19150551448545e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T02:33:00Z,2.19150551448545e-06,0.0,4.10753967426467e-07,0.0
2023-01-01T02:34:00Z,2.19150551448545e-06,0.0,1.10704983141177e-06,0.0
2023-01-01T02:35:00Z,2.19150551448545e-06,0.0,1.09924161210269e-06,0.0
2023-01-01T02:36:00Z,2.19150551448545e-06,0.0,1.07664280176974e-06,0.0
2023-01-01T02:37:00Z,2.19150551448545e-06,0.0,1.0638998602604e-06,0.0
2023-01-01T02:38:00Z,2.19150551448545e-06,0.0,1.05960319017407e-06,0.0
2023-01-01T02:39:00Z,2.19150551448545e-06,0.0,1.05081300413647e-06,0.0
2023-01-01T02:40:00Z,2.19150551448545e-06,0.0,1.04186217377232e-06,0.0
2023-01-01T02:41:00Z,2.19150551448545e-06,0.0,1.03721932647524e-06,0.0
2023-01-01T02:42:00Z,2.19150551448545e-06,0.0,1.02646068178829e-06,0.0
2023-01-01T02:43:00Z,2.19150551448545e-06,0.0,1.02088111968566e-06,0.0
2023-01-01T02:44:00Z,2.19150551448545e-06,0.0,1.00850471875241e-06,0.0
2023-01-01T02:45:00Z,2.19150551448545e-06,0.0,1.00138206607639e-06,0.0
2023-01-01T02:46:00Z,2.19150551448545e-06,0.0,9.93714127728528e-07,0.0
2023-01-01T02:47:00Z,2.19150551448545e-06,0.0,9.90897195523429e-07,0.0
2023-01-01T02:48:00Z,2.19150551448545e-06,0.0,9.84426170538221e-07,0.0
2023-01-01T02:49:00Z,2.19150551448545e-06,0.0,9.75830567769407e-07,0.0
2023-01-01T02:50:00Z,2.19150551448545e-06,0.0,9.74563513926149e-07,0.0
2023-01-01T02:51:00Z,2.19150551448545e-06,0.0,9.72101809316392e-07,0.0
2023-01-01T02:52:00Z,2.19150551448545e-06,0.0,4.11315091271338e-07,0.0
2023-01-01T02:53:00Z,2.19150551448545e-06,0.0,4.1054354598464e-07,0.0
2023-01-01T02:54:00Z,2.19150551448545e-06,0.0,4.1117481031012e-07,0.0
2023-01-01T02:55:00Z,2.19150551448545e-06,0.0,4.10753967426467e-07,0.0
2023-01-01T02:56:00Z,2.19150551448545e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T02:57:00Z,2.19150551448545e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T02:58:00Z,2.19150551448545e-06,0.0,4.09842141178551e-07,0.0
2023-01-01T02:59:00Z,2.19150551448545e-06,0.0,4.10122703100986e-07,0.0
2023-01-01T03:00:00Z,2.36285779751106e-06,0.0,4.10894248387684e-07,0.0
2023-01-01T03:01:00Z,2.36285779751106e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T03:02:00Z,2.36285779751106e-06,0.0,4.10753967426467e-07,0.0
2023-01-01T03:03:00Z,2.36285779751106e-06,0.0,4.09842141178551e-07,0.0
2023-01-01T03:04:00Z,2.36285779751106e-06,0.0,4.10052562620378e-07,0.0
2023-01-01T03:05:00Z,2.36285779751106e-06,0.0,4.10192843581595e-07,0.0
2023-01-01T03:06:00Z,2.36285779751106e-06,0.0,4.1117481031012e-07,0.0
2023-01-01T03:07:00Z,2.36285779751106e-06,0.0,4.10683826945858e-07,0.0
2023-01-01T03:08:00Z,2.36285779751106e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T03:09:00Z,2.36285779751106e-06,0.0,4.11034529348902e-07,0.0
2023-01-01T03:10:00Z,2.36285779751106e-06,0.0,4.10262984062204e-07,0.0
2023-01-01T03:11:00Z,2.36285779751106e-06,0.0,4.83138943414852e-07,0.0
2023-01-01T03:12:00Z,2.36285779751106e-06,0.0,4.10403265023422e-07,0.0
2023-01-01T03:13:00Z,2.36285779751106e-06,0.0,4.0991228165916e-07,0.0
2023-01-01T03:14:00Z,2.36285779751106e-06,0.0,4.09842141178551e-07,0.0
2023-01-01T03:15:00Z,2.36285779751106e-06,0.0,8.78731254049053e-07,0.0
2023-01-01T03:16:00Z,2.36285779751106e-06,0.0,1.65904410082307e-06,0.0
2023-01-01T03:17:00Z,2.36285779751106e-06,0.0,1.51216993442804e-06,0.0
2023-01-01T03:18:00Z,2.36285779751106e-06,0.0,1.46524595290068e-06,0.0
2023-01-01T03:19:00Z,2.36285779751106e-06,0.0,1.44476493256288e-06,0.0
2023-01-01T03:20:00Z,2.36285779751106e-06,0.0,1.27262209237945e-06,0.0
2023-01-01T03:21:00Z,2.36285779751106e-06,0.0,1.27009703507753e-06,0.0
2023-01-01T03:22:00Z,2.36285779751106e-06,0.0,1.27199082805397e-06,0.0
2023-01-01T03:23:00Z,2.36285779751106e-06,0.0,1.26539762287673e-06,0.0
2023-01-01T03:24:00Z,2.36285779751106e-06,0.0,1.25775231049036e-06,0.0
2023-01-01T03:25:00Z,2.36285779751106e-06,0.0,5.6883250994974e-07,0.0
2023-01-01T03:26:00Z,2.36285779751106e-06,0.0,2.48851637411934e-07,0.0
2023-01-01T03:27:00Z,2.36285779751106e-06,0.0,2.48851637411934e-07,0.0
2023-01-01T03:28:00Z,2.36285779751106e-06,0.0,2.48009951644627e-07,0.0
2023-01-01T03:29:00Z,2.36285779751106e-06,0.0,2.47729389722192e-07,0.0
2023-01-01T03:30:00Z,2.36285779751106e-06,0.0,2.48430794528281e-07,0.0
2023-01-01T03:31:00Z,2.36285779751106e-06,0.0,2.4850093500889e-07,0.0
2023-01-01T03:32:00Z,2.36285779751106e-06,0.0,2.48430794528281e-07,0.0
2023-01-01T03:33:00Z,2.36285779751106e-06,0.0,2.48571075489499e-07,0.0
2023-01-01T03:34:00Z,2.36285779751106e-06,0.0,2.47799530202801e-07,0.0
2023-01-01T03:35:00Z,2.36285779751106e-06,0.0,2.48711356450716e-07,0.0
2023-01-01T03:36:00Z,2.36285779751106e-06,0.0,2.48571075489499e-07,0.0
2023-01-01T03:37:00Z,2.36285779751106e-06,0.0,2.47799530202801e-07,0.0
2023-01-01T03:38:00Z,2.36285779751106e-06,0.0,2.48430794528281e-07,0.0
2023-01-01T03:39:00Z,2.36285779751106e-06,0.0,2.48711356450716e-07,0.0
2023-01-01T03:40:00Z,2.36285779751106e-06,0.0,2.48080092125236e-07,0.0
2023-01-01T03:41:00Z,2.36285779751106e-06,0.0,2.4850093500889e-07,0.0
2023-01-01T03:42:00Z,2.36285779751106e-06,0.0,2.47729389722192e-07,0.0
2023-01-01T03:43:00Z,2.36285779751106e-06,0.0,2.48851637411934e-07,0.0
2023-01-01T03:44:00Z,2.36285779751106e-06,0.0,2.47659249241583e-07,0.0
2023-01-01T03:45:00Z,2.36285779751106e-06,0.0,2.48360654047672e-07,0.0
2023-01-01T03:46:00Z,2.36285779751106e-06,0.0,2.48851637411934e-07,0.0
2023-01-01T03:47:00Z,2.36285779751106e-06,0.0,2.4913219933437e-07,0.0
2023-01-01T03:48:00Z,2.36285779751106e-06,0.0,2.48360654047672e-07,0.0
2023-01-01T03:49:00Z,2.36285779751106e-06,0.0,2.47589108760974e-07,0.0
2023-01-01T03:50:00Z,2.36285779751106e-06,0.0,2.48641215970107e-07,0.0
2023-01-01T03:51:00Z,2.36285779751106e-06,0.0,2.48711356450716e-07,0.0
2023-01-01T03:52:00Z,2.36285779751106e-06,0.0,9.53181980321178e-07,0.0
2023-01-01T03:53:00Z,2.36285779751106e-06,0.0,9.37619844010597e-07,0.0
2023-01-01T03:54:00Z,2.36285779751106e-06,0.0,9.24449271829164e-07,0.0
2023-01-01T03:55:00Z,2.36285779751106e-06,0.0,9.09534238017104e-07,0.0
2023-01-01T03:56:00Z,2.36285779751106e-06,0.0,9.03610761299875e-07,0.0
2023-01-01T03:57:00Z,2.36285779751106e-06,0.0,8.95101137184711e-07,0.0
