timeindex,profile_heat,profile_hotwater,profile_load,profile_STH_load
2023-01-01T00:01:00Z,2.07426447873108e-06,0.0,2.38326383252403e-07,0.0
2023-01-01T00:02:00Z,2.07426447873108e-06,0.0,2.38797529899566e-07,0.0
2023-01-01T00:03:00Z,2.07426447873108e-06,0.0,2.39268676546729e-07,0.0
2023-01-01T00:04:00Z,2.07426447873108e-06,0.0,2.38528303244044e-07,0.0
2023-01-01T00:05:00Z,2.07426447873108e-06,0.0,2.38326383252403e-07,0.0
2023-01-01T00:06:00Z,2.07426447873108e-06,0.0,2.38662916571805e-07,0.0
2023-01-01T00:07:00Z,2.07426447873108e-06,0.0,2.38662916571805e-07,0.0
2023-01-01T00:08:00Z,2.07426447873108e-06,0.0,2.38528303244044e-07,0.0
2023-01-01T00:09:00Z,2.07426447873108e-06,0.0,2.38057156596881e-07,0.0
2023-01-01T00:10:00Z,2.07426447873108e-06,0.0,2.38191769924642e-07,0.0
2023-01-01T00:11:00Z,2.07426447873108e-06,0.0,5.35148770964997e-07,0.0
2023-01-01T00:12:00Z,2.07426447873108e-06,0.0,1.44473102664481e-06,0.0
2023-01-01T00:13:00Z,2.07426447873108e-06,0.0,1.29584868614135e-06,0.0
2023-01-01T00:14:00Z,2.07426447873108e-06,0.0,1.24604175486985e-06,0.0
2023-01-01T00:15:00Z,2.07426447873108e-06,0.0,1.22813818227767e-06,0.0
2023-01-01T00:16:00Z,2.07426447873108e-06,0.0,1.21683066274576e-06,0.0
2023-01-01T00:17:00Z,2.07426447873108e-06,0.0,1.21023460968548e-06,0.0
2023-01-01T00:18:00Z,2.07426447873108e-06,0.0,1.21434031618218e-06,0.0
2023-01-01T00:19:00Z,2.07426447873108e-06,0.0,1.88058944128998e-06,0.0
2023-01-01T00:20:00Z,2.07426447873108e-06,0.0,1.86242532677309e-06,0.0
2023-01-01T00:21:00Z,2.07426447873108e-06,0.0,1.228748284618e-06,0.0
2023-01-01T00:22:00Z,2.07426447873108e-06,0.0,8.7224876905325e-07,0.0
2023-01-01T00:23:00Z,2.07426447873108e-06,0.0,8.67103066040458e-07,0.0
2023-01-01T00:24:00Z,2.07426447873108e-06,0.0,8.59475701194913e-07,0.0
2023-01-01T00:25:00Z,2.07426447873108e-06,0.0,8.52117563004891e-07,0.0
2023-01-01T00:26:00Z,2.07426447873108e-06,0.0,8.47377871158087e-07,0.0
2023-01-01T00:27:00Z,2.07426447873108e-06,0.0,8.36982248362623e-07,0.0
2023-01-01T00:28:00Z,2.07426447873108e-06,0.0,8.27652676275716e-07,0.0
2023-01-01T00:29:00Z,2.07426447873108e-06,0.0,8.22183467039756e-07,0.0
2023-01-01T00:30:00Z,2.07426447873108e-06,0.0,8.11112606422782e-07,0.0
2023-01-01T00:31:00Z,2.07426447873108e-06,0.0,8.01177274360952e-07,0.0
2023-01-01T00:32:00Z,2.07426447873108e-06,0.0,7.95102305150069e-07,0.0
2023-01-01T00:33:00Z,2.07426447873108e-06,0.0,7.92601102672965e-07,0.0
2023-01-01T00:34:00Z,2.07426447873108e-06,0.0,7.89003452929422e-07,0.0
2023-01-01T00:35:00Z,2.07426447873108e-06,0.0,7.84011903888743e-07,0.0
2023-01-01T00:36:00Z,2.07426447873108e-06,0.0,7.73753065603745e-07,0.0
2023-01-01T00:37:00Z,2.07426447873108e-06,0.0,2.38191769924642e-07,0.0
2023-01-01T00:38:00Z,2.07426447873108e-06,0.0,2.38460996580164e-07,0.0
2023-01-01T00:39:00Z,2.07426447873108e-06,0.0,2.37249476630317e-07,0.0
2023-01-01T00:40:00Z,2.07426447873108e-06,0.0,2.38662916571805e-07,0.0
2023-01-01T00:41:00Z,2.07426447873108e-06,0.0,2.38797529899566e-07,0.0
2023-01-01T00:42:00Z,2.07426447873108e-06,0.0,2.38393689916283e-07,0.0
2023-01-01T00:43:00Z,2.07426447873108e-06,0.0,2.37922543269121e-07,0.0
2023-01-01T00:44:00Z,2.07426447873108e-06,0.0,2.37989849933001e-07,0.0
2023-01-01T00:45:00Z,2.07426447873108e-06,0.0,2.38460996580164e-07,0.0
2023-01-01T00:46:00Z,2.07426447873108e-06,0.0,2.39335983210609e-07,0.0
2023-01-01T00:47:00Z,2.07426447873108e-06,0.0,2.38393689916283e-07,0.0
2023-01-01T00:48:00Z,2.07426447873108e-06,0.0,2.38662916571805e-07,0.0
2023-01-01T00:49:00Z,2.07426447873108e-06,0.0,2.38864836563446e-07,0.0
2023-01-01T00:50:00Z,2.07426447873108e-06,0.0,2.3785523660524e-07,0.0
2023-01-01T00:51:00Z,2.07426447873108e-06,0.0,2.3940328987449e-07,0.0
2023-01-01T00:52:00Z,2.07426447873108e-06,0.0,2.37518703285838e-07,0.0
2023-01-01T00:53:00Z,2.07426447873108e-06,0.0,4.04968998289467e-07,0.0
2023-01-01T00:54:00Z,2.07426447873108e-06,0.0,4.05238224944989e-07,0.0
2023-01-01T00:55:00Z,2.07426447873108e-06,0.0,4.05843984919912e-07,0.0
2023-01-01T00:56:00Z,2.07426447873108e-06,0.0,4.05709371592151e-07,0.0
2023-01-01T00:57:00Z,2.07426447873108e-06,0.0,4.0550745160051e-07,0.0
2023-01-01T00:58:00Z,2.07426447873108e-06,0.0,4.05843984919912e-07,0.0
2023-01-01T00:59:00Z,2.07426447873108e-06,0.0,4.05642064928271e-07,0.0
2023-01-01T01:00:00Z,2.1373942672142e-06,0.0,4.05843984919912e-07,0.0
2023-01-01T01:01:00Z,2.1373942672142e-06,0.0,4.05709371592151e-07,0.0
2023-01-01T01:02:00Z,2.1373942672142e-06,0.0,4.05843984919912e-07,0.0
2023-01-01T01:03:00Z,2.1373942672142e-06,0.0,4.0550745160051e-07,0.0
2023-01-01T01:04:00Z,2.1373942672142e-06,0.0,4.05574758264391e-07,0.0
2023-01-01T01:05:00Z,2.1373942672142e-06,0.0,4.05978598247673e-07,0.0
2023-01-01T01:06:00Z,2.1373942672142e-06,0.0,4.05372838272749e-07,0.0
2023-01-01T01:07:00Z,2.1373942672142e-06,0.0,4.06247824903195e-07,0.0
2023-01-01T01:08:00Z,2.1373942672142e-06,0.0,4.06113211575434e-07,0.0
2023-01-01T01:09:00Z,2.1373942672142e-06,0.0,4.05978598247673e-07,0.0
2023-01-01T01:10:00Z,2.1373942672142e-06,0.0,4.05642064928271e-07,0.0
2023-01-01T01:11:00Z,2.1373942672142e-06,0.0,4.05574758264391e-07,0.0
2023-01-01T01:12:00Z,2.1373942672142e-06,0.0,1.2537429399274e-06,0.0
2023-01-01T01:13:00Z,2.1373942672142e-06,0.0,1.25347371327187e-06,0.0
2023-01-01T01:14:00Z,2.1373942672142e-06,0.0,1.25320448661635e-06,0.0
2023-01-01T01:15:00Z,2.1373942672142e-06,0.0,1.2537429399274e-06,0.0
2023-01-01T01:16:00Z,2.1373942672142e-06,0.0,1.25327179328023e-06,0.0
2023-01-01T01:17:00Z,2.1373942672142e-06,0.0,1.25246411331367e-06,0.0
2023-01-01T01:18:00Z,2.1373942672142e-06,0.0,1.2537429399274e-06,0.0
2023-01-01T01:19:00Z,2.1373942672142e-06,0.0,1.25347371327187e-06,0.0
2023-01-01T01:20:00Z,2.1373942672142e-06,0.0,1.25313717995247e-06,0.0
2023-01-01T01:21:00Z,2.1373942672142e-06,0.0,1.25273333996919e-06,0.0
2023-01-01T01:22:00Z,2.1373942672142e-06,0.0,2.31220753611067e-06,0.0
2023-01-01T01:23:00Z,2.1373942672142e-06,0.0,2.37271622693916e-06,0.0
2023-01-01T01:24:00Z,2.1373942672142e-06,0.0,2.27653500425406e-06,0.0
2023-01-01T01:25:00Z,2.1373942672142e-06,0.0,2.25042001866846e-06,0.0
2023-01-01T01:26:00Z,2.1373942672142e-06,0.0,2.2200647132584e-06,0.0
2023-01-01T01:27:00Z,2.1373942672142e-06,0.0,2.23029532616822e-06,0.0
2023-01-01T01:28:00Z,2.1373942672142e-06,0.0,2.21407442017304e-06,0.0
2023-01-01T01:29:00Z,2.1373942672142e-06,0.0,2.22894919289061e-06,0.0
2023-01-01T01:30:00Z,2.1373942672142e-06,0.0,2.22268967314973e-06,0.0
2023-01-01T01:31:00Z,2.1373942672142e-06,0.0,2.20640146049067e-06,0.0
2023-01-01T01:32:00Z,2.1373942672142e-06,0.0,1.28026176549628e-06,0.0
2023-01-01T01:33:00Z,2.1373942672142e-06,0.0,1.25273333996919e-06,0.0
2023-01-01T01:34:00Z,2.1373942672142e-06,0.0,1.25313717995247e-06,0.0
2023-01-01T01:35:00Z,2.1373942672142e-06,0.0,1.25300256662471e-06,0.0
2023-01-01T01:36:00Z,2.1373942672142e-06,0.0,9.93773338990301e-06,0.0
2023-01-01T01:37:00Z,2.1373942672142e-06,0.0,9.93820453655017e-06,0.0
2023-01-01T01:38:00Z,2.1373942672142e-06,0.0,9.93786800323077e-06,0.0
2023-01-01T01:39:00Z,2.1373942672142e-06,0.0,9.93786800323077e-06,0.0
2023-01-01T01:40:00Z,2.1373942672142e-06,0.0,9.93800261655853e-06,0.0
2023-01-01T01:41:00Z,2.1373942672142e-06,0.0,1.25293525996083e-06,0.0
2023-01-01T01:42:00Z,2.1373942672142e-06,0.0,1.96898697397471e-06,0.0
2023-01-01T01:43:00Z,2.1373942672142e-06,0.0,1.91239075438212e-06,0.0
2023-01-01T01:44:00Z,2.1373942672142e-06,0.0,1.90366694227013e-06,0.0
2023-01-01T01:45:00Z,2.1373942672142e-06,0.0,1.88759801906436e-06,0.0
2023-01-01T01:46:00Z,2.1373942672142e-06,0.0,1.8770547558449e-06,0.0
2023-01-01T01:47:00Z,2.1373942672142e-06,0.0,1.87253001108597e-06,0.0
