name,carrier,tech,storage_capacity,capacity,storage_capacity_initial,storage_losses,type,bus
storage_lion,electricity,battery,0,0,0,0,storage,bus_electricity
storage_heat,heat,tank,0,0,0,0.05,storage,bus_heat
